Open Time,Open,High,Low,Close,Close Time
2022-09-14 22:13:00,208.26000000,208.26000000,208.26000000,208.26000000,2022-09-14 22:13:59.999
2022-09-14 22:14:00,208.62000000,208.62000000,208.50000000,208.62000000,2022-09-14 22:14:59.999
2022-09-14 22:15:00,208.97000000,208.97000000,208.97000000,208.97000000,2022-09-14 22:15:59.999
2022-09-14 22:16:00,208.97000000,208.97000000,208.71000000,208.97000000,2022-09-14 22:16:59.999
2022-09-14 22:17:00,208.97000000,208.97000000,208.25000000,208.32000000,2022-09-14 22:17:59.999
2022-09-14 22:18:00,208.80000000,208.96000000,208.80000000,208.96000000,2022-09-14 22:18:59.999
2022-09-14 22:19:00,208.92000000,208.92000000,208.55000000,208.91000000,2022-09-14 22:19:59.999
2022-09-14 22:20:00,208.91000000,209.00000000,208.91000000,208.97000000,2022-09-14 22:20:59.999
2022-09-14 22:21:00,209.00000000,209.29000000,208.75000000,208.96000000,2022-09-14 22:21:59.999
2022-09-14 22:22:00,209.27000000,209.95000000,208.98000000,209.86000000,2022-09-14 22:22:59.999
2022-09-14 22:23:00,209.85000000,210.03000000,209.36000000,209.63000000,2022-09-14 22:23:59.999
2022-09-14 22:24:00,209.63000000,210.16000000,209.63000000,210.10000000,2022-09-14 22:24:59.999
2022-09-14 22:25:00,210.10000000,210.36000000,209.59000000,209.59000000,2022-09-14 22:25:59.999
2022-09-14 22:26:00,210.43000000,210.45000000,210.42000000,210.42000000,2022-09-14 22:26:59.999
2022-09-14 22:27:00,210.42000000,210.42000000,210.00000000,210.00000000,2022-09-14 22:27:59.999
2022-09-14 22:28:00,209.82000000,210.24000000,209.38000000,209.38000000,2022-09-14 22:28:59.999
2022-09-14 22:29:00,209.37000000,209.37000000,208.75000000,209.00000000,2022-09-14 22:29:59.999
2022-09-14 22:30:00,209.00000000,209.00000000,208.90000000,208.90000000,2022-09-14 22:30:59.999
2022-09-14 22:31:00,208.71000000,208.72000000,208.70000000,208.72000000,2022-09-14 22:31:59.999
2022-09-14 22:32:00,208.70000000,208.70000000,208.49000000,208.55000000,2022-09-14 22:32:59.999
2022-09-14 22:33:00,208.68000000,208.68000000,208.68000000,208.68000000,2022-09-14 22:33:59.999
2022-09-14 22:34:00,208.68000000,208.68000000,208.65000000,208.65000000,2022-09-14 22:34:59.999
2022-09-14 22:35:00,208.68000000,208.68000000,208.37000000,208.37000000,2022-09-14 22:35:59.999
2022-09-14 22:36:00,208.37000000,208.37000000,208.07000000,208.32000000,2022-09-14 22:36:59.999
2022-09-14 22:37:00,208.28000000,208.30000000,208.25000000,208.26000000,2022-09-14 22:37:59.999
2022-09-14 22:38:00,208.06000000,208.10000000,208.00000000,208.00000000,2022-09-14 22:38:59.999
2022-09-14 22:39:00,208.00000000,208.00000000,207.72000000,207.99000000,2022-09-14 22:39:59.999
2022-09-14 22:40:00,207.99000000,207.99000000,207.99000000,207.99000000,2022-09-14 22:40:59.999
2022-09-14 22:41:00,207.96000000,207.99000000,207.66000000,207.99000000,2022-09-14 22:41:59.999
2022-09-14 22:42:00,207.63000000,207.99000000,207.63000000,207.99000000,2022-09-14 22:42:59.999
2022-09-14 22:43:00,207.97000000,208.10000000,207.97000000,208.10000000,2022-09-14 22:43:59.999
2022-09-14 22:44:00,208.12000000,208.68000000,208.12000000,208.68000000,2022-09-14 22:44:59.999
2022-09-14 22:45:00,209.18000000,209.18000000,208.44000000,209.02000000,2022-09-14 22:45:59.999
2022-09-14 22:46:00,208.46000000,208.46000000,208.46000000,208.46000000,2022-09-14 22:46:59.999
2022-09-14 22:47:00,208.20000000,208.40000000,208.20000000,208.40000000,2022-09-14 22:47:59.999
2022-09-14 22:48:00,208.40000000,208.46000000,207.96000000,208.46000000,2022-09-14 22:48:59.999
2022-09-14 22:49:00,208.75000000,208.75000000,208.75000000,208.75000000,2022-09-14 22:49:59.999
2022-09-14 22:50:00,209.03000000,209.03000000,209.03000000,209.03000000,2022-09-14 22:50:59.999
2022-09-14 22:51:00,209.03000000,209.03000000,209.03000000,209.03000000,2022-09-14 22:51:59.999
2022-09-14 22:52:00,209.39000000,209.48000000,209.12000000,209.12000000,2022-09-14 22:52:59.999
2022-09-14 22:53:00,209.47000000,209.47000000,209.12000000,209.12000000,2022-09-14 22:53:59.999
2022-09-14 22:54:00,209.15000000,209.15000000,209.12000000,209.12000000,2022-09-14 22:54:59.999
2022-09-14 22:55:00,209.12000000,209.12000000,209.12000000,209.12000000,2022-09-14 22:55:59.999
2022-09-14 22:56:00,209.12000000,209.12000000,209.12000000,209.12000000,2022-09-14 22:56:59.999
2022-09-14 22:57:00,209.12000000,209.12000000,209.12000000,209.12000000,2022-09-14 22:57:59.999
2022-09-14 22:58:00,208.87000000,208.87000000,208.81000000,208.81000000,2022-09-14 22:58:59.999
2022-09-14 22:59:00,208.73000000,208.73000000,208.38000000,208.48000000,2022-09-14 22:59:59.999
2022-09-14 23:00:00,208.59000000,208.59000000,208.48000000,208.48000000,2022-09-14 23:00:59.999
2022-09-14 23:01:00,208.44000000,208.44000000,208.33000000,208.43000000,2022-09-14 23:01:59.999
2022-09-14 23:02:00,208.52000000,208.85000000,208.52000000,208.85000000,2022-09-14 23:02:59.999
2022-09-14 23:03:00,208.99000000,209.15000000,208.99000000,209.13000000,2022-09-14 23:03:59.999
2022-09-14 23:04:00,209.07000000,209.13000000,208.96000000,208.96000000,2022-09-14 23:04:59.999
2022-09-14 23:05:00,208.94000000,208.96000000,208.85000000,208.85000000,2022-09-14 23:05:59.999
2022-09-14 23:06:00,208.85000000,208.88000000,208.75000000,208.79000000,2022-09-14 23:06:59.999
2022-09-14 23:07:00,208.79000000,208.79000000,208.79000000,208.79000000,2022-09-14 23:07:59.999
2022-09-14 23:08:00,208.77000000,208.85000000,208.74000000,208.85000000,2022-09-14 23:08:59.999
2022-09-14 23:09:00,208.74000000,208.74000000,208.74000000,208.74000000,2022-09-14 23:09:59.999
2022-09-14 23:10:00,208.74000000,208.74000000,208.59000000,208.59000000,2022-09-14 23:10:59.999
2022-09-14 23:11:00,208.52000000,208.52000000,208.46000000,208.46000000,2022-09-14 23:11:59.999
2022-09-14 23:12:00,208.52000000,208.52000000,208.52000000,208.52000000,2022-09-14 23:12:59.999
2022-09-14 23:13:00,208.54000000,208.60000000,208.47000000,208.60000000,2022-09-14 23:13:59.999
2022-09-14 23:14:00,208.64000000,208.99000000,208.64000000,208.90000000,2022-09-14 23:14:59.999
2022-09-14 23:15:00,208.92000000,208.92000000,208.91000000,208.91000000,2022-09-14 23:15:59.999
2022-09-14 23:16:00,208.75000000,208.90000000,208.65000000,208.84000000,2022-09-14 23:16:59.999
